source_name,url,language,past_fake,past_real,domain_age_years,followers,credibility_label
LankaCNews,www.lankacnews.com,Sinhala,12,351,13,400859,Low
GuruTV,www.gurutv.lk,Sinhala,4,304,6,212688,Medium
Tamil Guardian,www.tamilguardian.com,Tamil,3,847,16,830623,High
The Hindu Tamil,www.hindutamil.in,Tamil,0,908,14,941906,High
Daily Mirror,www.dailymirror.lk,Sinhala,7,485,17,1084754,Medium
Colombo Gazette,www.colombogazette.com,Sinhala,7,525,14,908680,Medium
Eezham News,www.eezhamnews.com,Tamil,10,70,8,178155,Low
Tamil Diplomat,www.tamildiplomat.com,Tamil,4,272,9,380306,Medium
Sudar Oli,www.sudaroli.lk,Tamil,3,259,12,252049,Medium
Asian Tribune,www.asiantribune.com,English,9,368,21,479855,Medium
Sri Lanka Mirror,www.srilankamirror.com,Sinhala,1,648,16,815151,High
TamilNet,www.tamilnet.com,Tamil,13,73,7,112183,Low
Mawbima,www.mawbima.lk,Sinhala,0,721,13,703351,Medium
Dinamina,www.dinamina.lk,Sinhala,1,688,15,552200,Low
TechTamil,www.techtamil.com,Tamil,0,865,11,261135,High
YarlThinakkural,www.yarlthinakkural.com,Tamil,6,282,11,273328,Medium
Uthayan,www.uthayan.com,Tamil,8,457,18,486416,High
Aruna News,www.aruna.lk,Sinhala,3,408,13,545525,Medium
Sooriyan FM,www.sooriyanfm.lk,Tamil,6,700,12,680746,High
IBC Tamil,www.ibctamil.com,Tamil,0,777,12,844660,High
Manoramaa Tamil,www.manoramaonline.com/tamil,Tamil,0,903,7,923744,High
Jaffna Today,www.jaffnatoday.lk,Tamil,5,495,12,493525,Medium
Ada Derana,www.adaderana.lk,Sinhala,0,486,14,2046752,High
Hiru News,www.hirunews.lk,Sinhala,5,459,8,1515726,High
NewsFirst,www.newsfirst.lk,Sinhala,1,616,14,1784584,High
BBC Tamil,www.bbc.com/tamil,Tamil,0,1216,19,3522991,High
Thinakkural,www.thinakkural.lk,Tamil,3,326,13,949713,Medium
Virakesari,www.virakesari.lk,Tamil,0,858,18,1228069,High
TamilWin,www.tamilwin.com,Tamil,12,191,8,300993,Low
Iraivaani,www.iraivaani.com,Tamil,8,159,6,239912,Low
LankaCNews,www.lankacnews.com,Sinhala,13,414,12,437922,Low
GuruTV,www.gurutv.lk,Sinhala,4,347,5,210966,Medium
Tamil Guardian,www.tamilguardian.com,Tamil,1,774,15,799726,High
The Hindu Tamil,www.hindutamil.in,Tamil,0,907,10,920313,High
Daily Mirror,www.dailymirror.lk,Sinhala,7,509,19,1130135,Medium
Colombo Gazette,www.colombogazette.com,Sinhala,7,434,14,954021,Medium
Eezham News,www.eezhamnews.com,Tamil,12,163,8,209734,Low
Tamil Diplomat,www.tamildiplomat.com,Tamil,7,279,10,436672,Medium
Sudar Oli,www.sudaroli.lk,Tamil,4,291,13,275945,High
Asian Tribune,www.asiantribune.com,English,6,311,21,516617,Medium
Sri Lanka Mirror,www.srilankamirror.com,Sinhala,2,645,14,845543,High
TamilNet,www.tamilnet.com,Tamil,10,65,11,153222,Low
Mawbima,www.mawbima.lk,Sinhala,4,671,14,709638,Low
Dinamina,www.dinamina.lk,Sinhala,1,700,13,643468,High
TechTamil,www.techtamil.com,Tamil,2,846,9,251293,High
YarlThinakkural,www.yarlthinakkural.com,Tamil,6,318,11,293919,Medium
Uthayan,www.uthayan.com,Tamil,9,488,19,462752,High
Aruna News,www.aruna.lk,Sinhala,4,372,12,523049,Medium
Sooriyan FM,www.sooriyanfm.lk,Tamil,5,683,13,690158,Medium
IBC Tamil,www.ibctamil.com,Tamil,0,845,12,791975,High
Manoramaa Tamil,www.manoramaonline.com/tamil,Tamil,1,915,6,944704,High
Jaffna Today,www.jaffnatoday.lk,Tamil,3,533,11,522369,Medium
Ada Derana,www.adaderana.lk,Sinhala,0,482,14,2043610,High
Hiru News,www.hirunews.lk,Sinhala,5,464,8,1519449,High
NewsFirst,www.newsfirst.lk,Sinhala,5,562,16,1788494,High
BBC Tamil,www.bbc.com/tamil,Tamil,2,1184,18,3544297,High
Thinakkural,www.thinakkural.lk,Tamil,3,373,13,926797,Medium
Virakesari,www.virakesari.lk,Tamil,0,856,19,1232745,High
TamilWin,www.tamilwin.com,Tamil,12,224,11,257543,Low
Iraivaani,www.iraivaani.com,Tamil,8,135,6,188756,Low
LankaCNews,www.lankacnews.com,Sinhala,12,398,11,435999,Low
GuruTV,www.gurutv.lk,Sinhala,1,345,8,244811,Medium
Tamil Guardian,www.tamilguardian.com,Tamil,3,772,14,818450,High
The Hindu Tamil,www.hindutamil.in,Tamil,0,911,13,896959,High
Daily Mirror,www.dailymirror.lk,Sinhala,9,508,17,1097280,Medium
Colombo Gazette,www.colombogazette.com,Sinhala,8,448,14,969896,Medium
Eezham News,www.eezhamnews.com,Tamil,12,152,7,175486,Low
Tamil Diplomat,www.tamildiplomat.com,Tamil,7,348,11,439112,Medium
Sudar Oli,www.sudaroli.lk,Tamil,6,299,16,310566,Medium
Asian Tribune,www.asiantribune.com,English,10,352,18,471689,Medium
Sri Lanka Mirror,www.srilankamirror.com,Sinhala,2,554,16,838102,High
TamilNet,www.tamilnet.com,Tamil,12,67,10,148136,Low
Mawbima,www.mawbima.lk,Sinhala,3,666,14,694261,Medium
Dinamina,www.dinamina.lk,Sinhala,3,639,14,612856,High
TechTamil,www.techtamil.com,Tamil,0,865,13,288092,High
YarlThinakkural,www.yarlthinakkural.com,Tamil,5,257,12,276432,Medium
Uthayan,www.uthayan.com,Tamil,5,520,16,401324,High
Aruna News,www.aruna.lk,Sinhala,3,380,13,572124,Medium
Sooriyan FM,www.sooriyanfm.lk,Tamil,4,723,11,743714,High
IBC Tamil,www.ibctamil.com,Tamil,1,794,16,836769,High
Manoramaa Tamil,www.manoramaonline.com/tamil,Tamil,0,919,8,907799,High
Jaffna Today,www.jaffnatoday.lk,Tamil,1,488,8,489298,Medium
Ada Derana,www.adaderana.lk,Sinhala,0,512,13,1978016,High
Hiru News,www.hirunews.lk,Sinhala,3,437,12,1517641,Low
NewsFirst,www.newsfirst.lk,Sinhala,5,610,17,1770559,High
BBC Tamil,www.bbc.com/tamil,Tamil,0,1250,21,3541362,High
Thinakkural,www.thinakkural.lk,Tamil,2,317,12,902528,Medium
Virakesari,www.virakesari.lk,Tamil,0,903,18,1169087,High
TamilWin,www.tamilwin.com,Tamil,10,161,8,260975,Low
Iraivaani,www.iraivaani.com,Tamil,7,123,8,179703,Low
LankaCNews,www.lankacnews.com,Sinhala,13,439,10,381921,Low
GuruTV,www.gurutv.lk,Sinhala,5,290,7,220159,Medium
Tamil Guardian,www.tamilguardian.com,Tamil,0,822,14,805284,High
The Hindu Tamil,www.hindutamil.in,Tamil,1,878,14,884349,High
Daily Mirror,www.dailymirror.lk,Sinhala,6,518,15,1115545,Medium
Colombo Gazette,www.colombogazette.com,Sinhala,5,434,11,961813,Medium
Eezham News,www.eezhamnews.com,Tamil,9,80,10,193833,Low
Tamil Diplomat,www.tamildiplomat.com,Tamil,5,276,8,396540,Medium
Sudar Oli,www.sudaroli.lk,Tamil,2,298,12,250404,Medium
Asian Tribune,www.asiantribune.com,English,9,380,21,548142,Medium
Sri Lanka Mirror,www.srilankamirror.com,Sinhala,3,602,18,869172,High
TamilNet,www.tamilnet.com,Tamil,11,132,7,156397,Low
Mawbima,www.mawbima.lk,Sinhala,0,700,14,667100,Medium
Dinamina,www.dinamina.lk,Sinhala,0,631,14,586187,High
TechTamil,www.techtamil.com,Tamil,0,833,11,294074,High
YarlThinakkural,www.yarlthinakkural.com,Tamil,3,303,11,274285,Medium
Uthayan,www.uthayan.com,Tamil,5,496,20,439764,High
Aruna News,www.aruna.lk,Sinhala,2,400,14,506949,Medium
Sooriyan FM,www.sooriyanfm.lk,Tamil,3,679,12,711886,High
IBC Tamil,www.ibctamil.com,Tamil,0,787,12,847239,High
Manoramaa Tamil,www.manoramaonline.com/tamil,Tamil,0,950,5,889811,High
Jaffna Today,www.jaffnatoday.lk,Tamil,1,523,8,469963,Medium
Ada Derana,www.adaderana.lk,Sinhala,4,483,14,1955569,High
Hiru News,www.hirunews.lk,Sinhala,5,442,10,1456254,High
NewsFirst,www.newsfirst.lk,Sinhala,3,565,16,1791240,High
BBC Tamil,www.bbc.com/tamil,Tamil,0,1176,22,3525697,High
Thinakkural,www.thinakkural.lk,Tamil,4,318,16,937044,Medium
Virakesari,www.virakesari.lk,Tamil,1,910,20,1189749,High
TamilWin,www.tamilwin.com,Tamil,8,161,8,343229,Low
Iraivaani,www.iraivaani.com,Tamil,5,144,7,173624,Low
LankaCNews,www.lankacnews.com,Sinhala,10,435,11,369262,Low
GuruTV,www.gurutv.lk,Sinhala,1,275,7,279104,Medium
Tamil Guardian,www.tamilguardian.com,Tamil,1,801,15,778699,High
The Hindu Tamil,www.hindutamil.in,Tamil,0,875,12,855126,High
Daily Mirror,www.dailymirror.lk,Sinhala,7,467,16,1138869,Medium
Colombo Gazette,www.colombogazette.com,Sinhala,4,530,14,990825,Medium
Eezham News,www.eezhamnews.com,Tamil,9,155,7,217915,Low
Tamil Diplomat,www.tamildiplomat.com,Tamil,7,333,8,357561,Medium
Sudar Oli,www.sudaroli.lk,Tamil,6,217,15,276069,Medium
Asian Tribune,www.asiantribune.com,English,6,382,18,510004,Medium
Sri Lanka Mirror,www.srilankamirror.com,Sinhala,2,613,15,875703,High
TamilNet,www.tamilnet.com,Tamil,14,82,11,127285,Low
Mawbima,www.mawbima.lk,Sinhala,3,743,12,726125,Medium
Dinamina,www.dinamina.lk,Sinhala,0,602,15,554324,High
TechTamil,www.techtamil.com,Tamil,0,883,12,228746,High
YarlThinakkural,www.yarlthinakkural.com,Tamil,3,343,10,303441,Medium
Uthayan,www.uthayan.com,Tamil,6,500,20,497579,High
Aruna News,www.aruna.lk,Sinhala,1,417,13,558067,Medium
Sooriyan FM,www.sooriyanfm.lk,Tamil,2,661,10,728477,High
IBC Tamil,www.ibctamil.com,Tamil,3,760,15,797362,High
Manoramaa Tamil,www.manoramaonline.com/tamil,Tamil,0,909,9,937958,High
Jaffna Today,www.jaffnatoday.lk,Tamil,2,462,9,484387,Medium
Ada Derana,www.adaderana.lk,Sinhala,4,522,10,2043070,High
Hiru News,www.hirunews.lk,Sinhala,5,493,8,1533524,High
NewsFirst,www.newsfirst.lk,Sinhala,4,599,17,1758567,High
BBC Tamil,www.bbc.com/tamil,Tamil,0,1225,20,3455415,High
Thinakkural,www.thinakkural.lk,Tamil,5,363,16,858007,Medium
Virakesari,www.virakesari.lk,Tamil,4,863,19,1238861,High
TamilWin,www.tamilwin.com,Tamil,12,154,9,273930,Low
Iraivaani,www.iraivaani.com,Tamil,7,188,9,232985,Low
LankaCNews,www.lankacnews.com,Sinhala,12,387,9,437062,Low
GuruTV,www.gurutv.lk,Sinhala,1,274,4,234016,Medium
Tamil Guardian,www.tamilguardian.com,Tamil,0,827,18,786455,High
The Hindu Tamil,www.hindutamil.in,Tamil,0,919,12,946646,High
Daily Mirror,www.dailymirror.lk,Sinhala,6,513,18,1130910,Medium
Colombo Gazette,www.colombogazette.com,Sinhala,4,523,13,998723,Medium
Eezham News,www.eezhamnews.com,Tamil,9,166,10,234484,Low
Tamil Diplomat,www.tamildiplomat.com,Tamil,3,317,9,382265,Medium
Sudar Oli,www.sudaroli.lk,Tamil,3,296,16,273710,Medium
Asian Tribune,www.asiantribune.com,English,10,387,20,490631,Medium
Sri Lanka Mirror,www.srilankamirror.com,Sinhala,5,578,17,803756,High
TamilNet,www.tamilnet.com,Tamil,12,85,10,199097,Low
